商品名,URL,画像URL,価格,数量,状态
HG 1/144 ガンダム デルタカイ　未組立,https://jp.mercari.com/item/m17759748717,https://static.mercdn.net/c!/w=240/thumb/photos/m17759748717_1.jpg?1752374064,¥,"4,100",未組立
ガンプラ　HG RGM-79 & MS-15/H,https://jp.mercari.com/item/m85538718300,https://static.mercdn.net/c!/w=240/thumb/photos/m85538718300_1.jpg?1752407856,¥,"9,000",未組立
BANDAI HGUC No.020『RGM-79 GM(ジム)』,https://jp.mercari.com/item/m44100418824,https://static.mercdn.net/c!/w=240/thumb/photos/m44100418824_1.jpg?1752025424,¥,"1,700",未組立
HGUC シャア専用高機動型ザクⅡ＆ザクⅡセット　ガンプラ　未組立　プレバン限定,https://jp.mercari.com/item/m51998677348,https://static.mercdn.net/c!/w=240/thumb/photos/m51998677348_1.jpg?1752307667,¥,"6,699",未組立
1/288 ガンダム ガンプラコレクション ミニガンプラ,https://jp.mercari.com/item/m56334233896,https://static.mercdn.net/c!/w=240/thumb/photos/m56334233896_1.jpg?1750735662,¥,"1,500",未組立
ベアッガイ　シャア専用ザク　HG　セブンイレブン限定　ガンプラ　未組立,https://jp.mercari.com/item/m51309996878,https://static.mercdn.net/c!/w=240/thumb/photos/m51309996878_1.jpg?1752230411,¥,"8,480",未組立
HGガンプラ セット売り【未組立】,https://jp.mercari.com/item/m85382258981,https://static.mercdn.net/c!/w=240/thumb/photos/m85382258981_1.jpg?1751377556,¥,"4,700",未組立
ガンプラ 新品未組立 HG ガンキャノン ククルス・ドアンの島版 バンダイ,https://jp.mercari.com/item/m82431124836,https://static.mercdn.net/c!/w=240/thumb/photos/m82431124836_1.jpg?1750598027,¥,"4,390",未組立
ガンダムビルドファイターズ　ガンプラ hg rギャギャ　新品 内袋未開封 未組立,https://jp.mercari.com/item/m16998296672,https://static.mercdn.net/c!/w=240/thumb/photos/m16998296672_1.jpg?1744724444,¥,"5,500",未組立
サザビー メカニカルバスト　カラー外装　内部メカ　セット,https://jp.mercari.com/item/m20685498617,https://static.mercdn.net/c!/w=240/thumb/photos/m20685498617_1.jpg?1752354560,¥,"1,980",未組立
機動戦士ガンダム　1/2400 グワジン　ガンプラ　旧キット　未組立,https://jp.mercari.com/item/m95153709266,https://static.mercdn.net/c!/w=240/thumb/photos/m95153709266_1.jpg?1752390561,¥,"2,000",未組立
HG キュベレイ　未組立,https://jp.mercari.com/item/m39726002220,https://static.mercdn.net/c!/w=240/thumb/photos/m39726002220_1.jpg?1752340736,¥,"3,900",未組立
機動戦士ガンダム00 ガンプラ hg ユニオンフラッグ量産型　未開封 未組立,https://jp.mercari.com/item/m46502670357,https://static.mercdn.net/c!/w=240/thumb/photos/m46502670357_1.jpg?1752396760,¥,"3,280",未組立
ガンプラ　クルーザーモード用ブースター拡張セット　新品未組立品,https://jp.mercari.com/item/m54373646448,https://static.mercdn.net/c!/w=240/thumb/photos/m54373646448_1.jpg?1751791604,¥,"5,000",未組立
1/550 ビグザム　ビグ・ザム　旧キット　ガンダム　ガンプラ,https://jp.mercari.com/item/m24902991062,https://static.mercdn.net/c!/w=240/thumb/photos/m24902991062_1.jpg?1752405725,¥,"3,000",未組立
HG ザク1スナイパー & ザク デザートタイプ ピンクパンサー隊機 セット,https://jp.mercari.com/item/m12125805621,https://static.mercdn.net/c!/w=240/thumb/photos/m12125805621_1.jpg?1752389466,¥,"6,000",未組立
旧ガンプラ 4体セット,https://jp.mercari.com/item/m65034865489,https://static.mercdn.net/c!/w=240/thumb/photos/m65034865489_1.jpg?1752226844,¥,"3,222",未組立
HG ガンダム6号機　マドロック　未組立品,https://jp.mercari.com/item/m27044043662,https://static.mercdn.net/c!/w=240/thumb/photos/m27044043662_1.jpg?1752291099,現在 ¥,"5,900",未組立
RG 1/144 シャイニングガンダム 機動武闘伝Gガンダム,https://jp.mercari.com/item/m92232105879,https://static.mercdn.net/c!/w=240/thumb/photos/m92232105879_1.jpg?1752399572,¥,"5,599",未組立
新品未組立　HG MSN-04Ⅱ NIGHTINGALE バンダイスピリッツ,https://jp.mercari.com/item/m19768484283,https://static.mercdn.net/c!/w=240/thumb/photos/m19768484283_1.jpg?1752409146,¥,"13,555",未組立
ガンプラ　ガンダムSEED　フリーダム　ストライクフリーダム　キラ　未組立,https://jp.mercari.com/item/m12797957247,https://static.mercdn.net/c!/w=240/thumb/photos/m12797957247_1.jpg?1752331733,¥,"4,800",未組立
HG エルガイム [スペシャルコーティング] 1/144スケール 未組立,https://jp.mercari.com/item/m95626291275,https://static.mercdn.net/c!/w=240/thumb/photos/m95626291275_1.jpg?1752398483,¥,"6,666",未組立
EG 1/144 ストライクガンダム　2個セット,https://jp.mercari.com/item/m84179774757,https://static.mercdn.net/c!/w=240/thumb/photos/m84179774757_1.jpg?1752347103,¥,"2,800",未組立
BANDAI SPIRITS MG 1/100 バンダイナムコ版 V2アサルトバスターガンダム Ver.Ka 15+表記,https://jp.mercari.com/shops/product/REJqppGSon4zWV4CJzJgu8,https://assets.mercari-shops-static.com/-/small/plain/z2nVuGUHhKb3Waf4eF87gn.jpg@webp,¥,"8,030",未組立
バンダイ HGUC 1/144 機動戦士ガンダム ゴッグ 008,https://jp.mercari.com/shops/product/wSgvyak5v9sfpM83JKeYvc,https://assets.mercari-shops-static.com/-/small/plain/PDP35zdS6nP4gXD8FMrjH9.jpg@webp,¥,"1,430",未組立
ユニコーンガンダム デストロイモード バンダイ版,https://jp.mercari.com/item/m92800158951,https://static.mercdn.net/c!/w=240/thumb/photos/m92800158951_1.jpg?1751195322,¥,"1,500",未組立
未組立　RG RX-93　νガンダム Hi-νガンダム　セット　ニューガンダム,https://jp.mercari.com/item/m87994149287,https://static.mercdn.net/c!/w=240/thumb/photos/m87994149287_1.jpg?1752390700,¥,"14,800",未組立
HG1/144ブラックナイトスコードシヴァ　未組立品,https://jp.mercari.com/item/m80984709217,https://static.mercdn.net/c!/w=240/thumb/photos/m80984709217_1.jpg?1750649698,¥,"3,400",未組立
新品　HG 赤いガンダム 機動戦士Gundam GQuuuuuuX ジークアクス,https://jp.mercari.com/item/m16926401853,https://static.mercdn.net/c!/w=240/thumb/photos/m16926401853_1.jpg?1752381140,¥,"4,599",未組立
戦場のレクイレム　ガンダム　ザク　2個　未開封　未組立　1/144,https://jp.mercari.com/item/m41447607822,https://static.mercdn.net/c!/w=240/thumb/photos/m41447607822_1.jpg?1752299257,¥,"6,111",未組立
新品未組立 HG 鉄血のオルフェンズ 8体セット,https://jp.mercari.com/item/m93586591478,https://static.mercdn.net/c!/w=240/thumb/photos/m93586591478_1.jpg?1752380889,¥,"15,000",未組立
MGサイズ 1/100ウイングガンダム スノーホワイト新品,https://jp.mercari.com/item/m82363201687,https://static.mercdn.net/c!/w=240/thumb/photos/m82363201687_1.jpg?1752388643,¥,"12,500",未組立
未組立 SDガンダムBB戦士 ガンセイヴァーZ ガンプラ,https://jp.mercari.com/item/m38981901307,https://static.mercdn.net/c!/w=240/thumb/photos/m38981901307_1.jpg?1742728586,¥,"3,300",未組立
【未使用・未組立】 HGBC ギャラクシーブースター ガンプラ 〈匿名配送〉,https://jp.mercari.com/item/m32667253666,https://static.mercdn.net/c!/w=240/thumb/photos/m32667253666_1.jpg?1752324878,¥,"1,200",未組立
ガンプラ　高機動型ザク 地上用(エグバ機) ククルス・ドアン　新品未組立品,https://jp.mercari.com/item/m21840873155,https://static.mercdn.net/c!/w=240/thumb/photos/m21840873155_1.jpg?1751787928,¥,"4,500",未組立
【未組立・送料無料】EG ストライクガンダム　ソードストライカーパーツ,https://jp.mercari.com/item/m64188817927,https://static.mercdn.net/c!/w=240/thumb/photos/m64188817927_1.jpg?1752361647,¥,"2,499",未組立
モビリティジョイント vol.9 zガンダム 百式 マークⅡ 3体セット袋未開封,https://jp.mercari.com/item/m92507656949,https://static.mercdn.net/c!/w=240/thumb/photos/m92507656949_1.jpg?1749605428,¥,"3,600",未組立
RG　1/144 フリーダムガンダム　新品未開封　ガンプラ,https://jp.mercari.com/item/m72965433710,https://static.mercdn.net/c!/w=240/thumb/photos/m72965433710_1.jpg?1751976330,¥,"4,280",未組立
【未組立】 MG 1/100 AMX-004 キュベレイ,https://jp.mercari.com/item/m11245948183,https://static.mercdn.net/c!/w=240/thumb/photos/m11245948183_1.jpg?1752396823,¥,"8,000",未組立
未組立 ガンプラ 機動戦士ガンダムZZ 1/144 ガルスJ,https://jp.mercari.com/item/m94637352598,https://static.mercdn.net/c!/w=240/thumb/photos/m94637352598_1.jpg?1749880393,¥,"2,800",未組立
【未組立】EG ストライクガンダム　ランチャーストライカーパーツ,https://jp.mercari.com/item/m94826864019,https://static.mercdn.net/c!/w=240/thumb/photos/m94826864019_1.jpg?1752361963,¥,"2,555",未組立
HGUC ジムコマンド スペースタイプ　ジャンク品　欠品あり　※,https://jp.mercari.com/item/m90596848955,https://static.mercdn.net/c!/w=240/thumb/photos/m90596848955_1.jpg?1750743150,¥,"1,700",未組立
新品未組立品 プレミアムバンダイ限定 HG 超魔神龍神丸,https://jp.mercari.com/item/m16822064793,https://static.mercdn.net/c!/w=240/thumb/photos/m16822064793_1.jpg?1752403447,¥,"5,500",未組立
新品未組立　MG ユニコーンガンダム3号機 フェネクス & リバウ　1/100,https://jp.mercari.com/item/m83342928005,https://static.mercdn.net/c!/w=240/thumb/photos/m83342928005_1.jpg?1752410904,¥,"21,280",未組立
【未組立】HG 1/144 ガンダムパーフェクトストライクフリーダム,https://jp.mercari.com/item/m64091394209,https://static.mercdn.net/c!/w=240/thumb/photos/m64091394209_1.jpg?1750591870,¥,"4,500",未組立
HGCE フリーダムガンダム 未組立,https://jp.mercari.com/item/m97121824225,https://static.mercdn.net/c!/w=240/thumb/photos/m97121824225_1.jpg?1748732249,¥,"4,000",未組立
